tier,headphone
0,he 1
0,bravura
0,aperio
1,abyss diana mr carbon vegan
1,susvara
1,empyrean 2
1,hd 800 s
1,l700
1,atrium
2,utwopia
2,heddphone1
2,d8000 pro
2,corina
2,elex
2,clear
2,audeze mm 500
2,dianatcbronze
2,composer
2,abyss1266150874
2,he 6
2,sundara
2,arya
2,arya organic
2,shangri la sr
2,hd 600
2,hd 650
2,sr 007
2,x9000
2,lcd 3f
2,auteur
2,aeolus
2,caldera
2,verite closed
2,aeon 2 noire
3,utopia
3,lcd 4
3,abyssdianav2bk1
3,he 6se v2
3,lcd x
3,dca stealth
3,akgk361 aboveflat
3,61sygir2hflacuf10001000ql80
3,he1000 v2
3,meze 109 pro
3,mm100
3,focal radiance
3,celestee
3,void
3,ca 1a
3,sr1a
3,hd 580
3,hd 660 s2
3,edition xs
3,hd 560s
3,mdr z1r
3,lcd 2f
3,sr 009s
3,stax l300
3,stax l500
3,verite
3,atrium closed
3,184
3,lcd xc
3,lcd 5
3,crbn
3,aeon closed x
3,ether c flow
3,ether c
3,zeus
3,srh 840
3,v6
3,1am2
4,he560s
4,ananda stealth
4,ananda nano
4,shang jr
4,elite
4,empyrean
4,heddphone2
4,he400se
4,he5xx
4,para
4,moondrop venus
4,ndh 30
4,lcd 1
4,aiva
4,hd 660s
4,lcd gx
4,lcd 2 classic
4,mv1
4,m40x
4,adx5000
4,ad500x
4,ad700x
4,ad900x
4,ad1000x
4,ad2000x
4,hi x 65
4,dt 770
4,dt 880
4,tygr300r
4,dt 700 pro x
4,dt 900 pro x
4,aeon open x
4,d9200
4,purpleheart
4,elegia
4,clear mg
4,k612
4,k702
4,t50rp
4,t60rp
4,k712
4,g200
4,helios
4,kph30i
4,mdr 7506
4,srh 1840
4,cd900st
5,stellia
5,k701
5,he1000 se
5,k7xx
5,porta pro
5,ksc75
5,99 clasic
5,liric
5,ndh 20
5,s4x
5,shp 9500
5,shp 9600
5,srh 840a
5,lcd 2 closed
5,el8c
5,m50x
5,amiron home
5,dt 1990
5,ether 2
5,dca expanse
5,elear
5,tr x00 ebony
5,th900
5,th909
5,grade hemp
5,325x
5,poseidon
5,pfr v1
6,sundara closed
6,x3
6,peacock
6,hd 8xx
6,zx110
6,dt 990
6,dt1770
6,voce
6,gl2000
6,gl850
6,sr 80x
6,sr225x
6,srh 1540
6,m1st
6,580i
7,he r9
7,he r10p
7,audivina
7,joker
7,hd 700
7,hd 820
7,h2plus
7,t1 gen 3
7,hi x 55
7,beats pro
7,t5p
8,hek stealth
8,valkyria
8,twin pulse
8,edition 15
8,mx 4
8,d7200
8,d5200
8,athena
