tier,headphone
0,aperio
0,he 1
1,susvara
1,d8000 pro
1,abyss diana mr carbon vegan
1,abyss1266150874
1,he 6
1,bravura
1,x9000
1,atrium
2,utopia
2,utwopia
2,composer
2,audeze mm 500
2,heddphone2
2,corina
2,arya
2,arya organic
2,shang jr
2,shangri la sr
2,ca 1a
2,sr1a
2,hd 600
2,hd 650
2,hd 800 s
2,auteur
2,aeolus
2,verite closed
2,caldera
2,elex
3,lcd 4
3,dianatcbronze
3,he1000 v2
3,clear
3,focal radiance
3,celestee
3,heddphone1
3,meze 109 pro
3,he 6se v2
3,edition xs
3,dca stealth
3,sundara
3,mm100
3,elite
3,hd 580
3,hd 660 s2
3,mdr z1r
3,lcd x
3,sr 007
3,atrium closed
3,verite
3,abyssdianav2bk1
3,valkyria
3,61sygir2hflacuf10001000ql80
3,akgk361 aboveflat
3,zeus
4,crbn
4,adx5000
4,lcd 5
4,dca expanse
4,l700
4,he1000 se
4,ananda nano
4,ananda stealth
4,stellia
4,lcd xc
4,he560s
4,dt 770
4,sr 009s
4,empyrean
4,moondrop venus
4,he400se
4,ndh 30
4,elegia
4,d9200
4,purpleheart
4,aiva
4,lcd gx
4,hd 660s
4,hd 560s
4,kph30i
4,dt 880
4,m40x
4,tygr300r
4,dt 700 pro x
4,t50rp
4,t60rp
4,helios
5,elear
5,clear mg
5,m50x
5,porta pro
5,ksc75
5,99 clasic
5,he5xx
5,liric
5,th900
5,th909
5,ndh 20
5,tr x00 ebony
5,shp 9500
5,shp 9600
5,x3
5,dt 900 pro x
5,dt 1990
5,grade hemp
5,325x
6,sundara closed
6,peacock
6,edition 15
6,dt 990
6,sr 80x
6,sr225x
7,he r9
7,he r10p
7,audivina
7,hd 700
7,hd 820
7,twin pulse
7,t1 gen 3
7,beats pro
7,voce
8,k701
8,k7xx
8,el8c
8,d5200
8,para
8,d7200
8,k702
8,k712
8,ad900x
8,ad1000x
8,ad700x
8,hek stealth
8,empyrean 2
8,srh 1540
8,void
8,joker
8,s4x
8,lcd 1
8,hd 8xx
8,lcd 2 classic
8,srh 840a
8,srh 840
8,580i
8,srh 1840
8,mv1
8,mdr 7506
8,cd900st
8,lcd 2f
8,m1st
8,v6
8,stax l500
8,pfr v1
8,stax l300
8,lcd 3f
8,h2plus
8,lcd 2 closed
8,1am2
8,zx110
8,184
8,amiron home
8,mx 4
8,ad500x
8,ad2000x
8,hi x 55
8,hi x 65
8,t5p
8,dt1770
8,ether c
8,ether 2
8,aeon open x
8,gl850
8,ether c flow
8,aeon closed x
8,aeon 2 noire
8,gl2000
8,k612
8,g200
8,poseidon
8,athena
